rank,name,domain
790,Burger King Holdings,investor.bk.com
791,C.R. Bard,crbard.com
792,CUNA Mutual Group,cunamutual.com
793,Boise,cityofboise.org
794,Penn National Gaming,pngaming.com
795,Church & Dwight,churchdwight.com
796,Weis Markets,weismarkets.com
797,Teleflex,teleflexmarine.com
798,CACI International,caci.com
799,Flowers Foods,flowersfoods.com
800,Mercury General,mercuryinsurance.com
801,Scholastic,scholastic.com
802,Plains Exploration and Production,pxp.com
803,National Fuel Gas,natfuel.com
804,National Life Group,nationallifegroup.com
805,Intl. Flavors & Fragrances,iff.com
806,Medical Mutual of Ohio,medmutual.com
807,Cracker Barrel Old Country Store,crackerbarrel.com
808,Biomet,biomet.com
809,Valassis Communications,valassis.com
810,Annaly Capital Management,annaly.com
811,Applied Biosystems,appliedbiosystems.com
812,Packaging Corp. of America,packagingcorp.com
813,Fastenal,fastenal.com
814,Pioneer Natural Resources,pioneernrc.com
815,NTK Holdings,nortek-inc.com
816,Great Plains Energy,greatplainsenergy.com
817,IMS Health,imshealth.com
818,Autodesk,usa.autodesk.com
819,Southwestern Energy,swn.com
820,Roper Industries,roperind.com
821,Ferro,ferro.com
822,A.O. Smith,aosmith.com
823,Synovus Financial Corp.,synovus.com
